"code","lambdaZ_hat_T","lambdaZ_lo_T","lambdaZ_hi_T"
286,0.00214076005680246,0.000918673256327932,0.0117030791785445
287,0.00208455087250124,0.000916997720712172,0.0107400214844177
288,0.00211390560469242,0.000901878558459074,0.0101442508524308
289,0.00203503336770343,0.000895748599132989,0.0113888400435215
290,0.00195333385291258,0.00092110085214179,0.0116022685283156
291,0.00189050116900092,0.000915983222678376,0.0103618490522272
292,0.00204994398247618,0.000908710467393313,0.0100071376465099
293,0.00200484526501804,0.000907607312331846,0.00995796834669252
294,0.00193030654735638,0.000923098788513435,0.0100222935337674
295,0.0018907985336772,0.000914611585812548,0.0101817305073657
296,0.00203346266779042,0.000901639402573048,0.010461357538331
297,0.00199006478937131,0.000895408760584194,0.0100277894738957
298,0.0019038967470054,0.000916534669030905,0.0102419760985663
299,0.0018615477353747,0.00090937713786417,0.0097990575742257
300,0.00201042187279137,0.000915414329317895,0.0100928634939508
301,0.00198831728899431,0.000905273599237076,0.0100448689325208
302,0.00190547643759625,0.000921140708490887,0.00988419452139841
303,0.0018774676134164,0.000913318860219097,0.00988815701060711
304,0.00229900502319048,0.000901011172305567,0.0101962099439062
305,0.00220845994203047,0.000903540527044413,0.0104113147402006
306,0.00214454920245979,0.000911176531637839,0.0102595047690514
307,0.00207088450135243,0.00091712576008058,0.0105539922123941
308,0.00219058711752004,0.000918219243982805,0.0102566224386581
309,0.0021401005338117,0.000902208973223216,0.0106281830094154
310,0.00209502297712986,0.000930471392979523,0.0102636964593717
311,0.00204970955086924,0.000917903552848184,0.0103506234915161
312,0.00219822844921635,0.00091219544253867,0.0105261183162029
313,0.00214529113048362,0.000901435428755593,0.0104299947721053
314,0.00209104871316907,0.000915685640902487,0.00997973521466342
315,0.00203536958421013,0.000901926594972191,0.0102842426158821
316,0.00213486950189378,0.000913969800112471,0.0111573062701638
317,0.00210508962946576,0.000898206980015637,0.0102042660938185
318,0.00206935932523422,0.000919578219250713,0.0104886151736219
319,0.00203074569180327,0.000911333751880347,0.00964175622450236
320,0.00214535506043571,0.000890941533225638,0.010235295319592
321,0.00209568877242944,0.000894180851387199,0.0111655482198412
322,0.00197789514061744,0.00091404534846403,0.0121392053411967
323,0.0019408582635084,0.00090470023512991,0.0120422399780824
324,0.0020803614953682,0.000903067871489716,0.0109525951474959
325,0.00205219261588553,0.000903279856132014,0.010590627200286
326,0.00195665289257832,0.000922619299699231,0.0112980734293812
327,0.00193365678932775,0.000911827663420049,0.0123330352448651
328,0.00203688828174744,0.00089849150984857,0.0106767392887502
329,0.00202254239143553,0.000892644790921891,0.0104329238076068
330,0.00188972949753226,0.000916354249990594,0.0108331557162445
331,0.0018743501055331,0.000906247144052822,0.0105221720665986
332,0.00201012168771882,0.000902302806538818,0.0113997951185267
333,0.00201080651671157,0.000896829907286893,0.0100217806601996
334,0.00188939606966359,0.000922018000929591,0.0111086671749146
335,0.00188486928726971,0.000912601724202647,0.0103692792808488
336,0.00231820733628567,0.000899660308916497,0.01059675987175
337,0.00225508404055423,0.000898893015171524,0.0116706198462665
338,0.00214793282835729,0.000908592828467918,0.0123761943351614
339,0.00210292202095469,0.000907487704486241,0.0131924246219007
340,0.00219219729494007,0.000899893873274137,0.0129314501365006
341,0.00215861835799357,0.000899210974362864,0.0111650628730106
342,0.00208402493365826,0.000919912279674013,0.0120961503458282
343,0.00205987622609445,0.000915336689028358,0.0115585240109974
344,0.00218082362874254,0.000900657737731063,0.0122926251389929
345,0.00215626818561633,0.000901985357679751,0.0110839872729884
346,0.00204978312818164,0.000913071049614746,0.0103670563527434
347,0.00202615592161418,0.000907709581047371,0.0114374725433445
348,0.00210080342909651,0.000906526005049124,0.012355662745594
349,0.0020947316444585,0.000909066904116422,0.0116217375932025
350,0.00201268427761678,0.000933221338302998,0.012193539737547
351,0.00200402278657551,0.000911895774831278,0.0112680198731023
352,0.00202920663748928,0.000902097913266439,0.011257554870057
353,0.00199898282076057,0.000898752750677938,0.0111696737830227
354,0.00189163402501354,0.000914675900894301,0.011175312431739
355,0.00187262364940992,0.000907419375431228,0.0119733215397809
356,0.00200038944790141,0.000914596159538656,0.0111788753700312
357,0.00198801158697508,0.000896474022295443,0.0111231307266149
358,0.00189899422753425,0.000918634966172764,0.0113190512067135
359,0.00189248395578775,0.000915632537180353,0.0115739278930131
360,0.00194422987958851,0.000900820208744032,0.011129399146903
361,0.00194761465455155,0.000896986980041714,0.010709520285169
362,0.00182684919293817,0.000907171811911204,0.0110920650034153
363,0.00182971807750724,0.000898960899134121,0.011912029715761
364,0.00194217110063179,0.000898453661878975,0.0108011662410579
365,0.00195333766280781,0.000893892197089328,0.01038875107445
366,0.00184929759879646,0.000921812138953188,0.0106123395114996
367,0.00185799600279441,0.00091946921965261,0.012523611854729
368,0.0021892944960163,0.00089857115694334,0.0102679624907152
369,0.00215843201701831,0.000896668546921242,0.0123730188663673
370,0.00205852674876241,0.000908726715510668,0.0114125960769385
371,0.00203962443309734,0.000903707413998329,0.0116130159372769
372,0.00211186684881741,0.000901161546693245,0.01118671898773
373,0.00210427038937062,0.000900743032508861,0.011232383305846
374,0.0020345631964905,0.000918152697398258,0.010909624435374
375,0.00203230723968506,0.000914810885544394,0.0111638584956508
376,0.00209209793499636,0.000908723523019643,0.0107930365342382
377,0.00209876280492083,0.000902549739518375,0.010521276899578
378,0.001994954621132,0.000912467604029888,0.0109481992870545
379,0.00199835018710144,0.000899630658707608,0.011421801747092
380,0.00204641467414097,0.000915069693224738,0.0120108965649236
381,0.00206262468284641,0.000904555706597661,0.0106754546317512
382,0.00199034343715651,0.000917545989243804,0.0110161441073895
383,0.00200201492353832,0.000910703344470207,0.0102797388616379
384,0.00205113539129375,0.000897505883677526,0.0098340946406636
385,0.00195034644225575,0.000913318312435741,0.00973530083189761
386,0.00190093191025304,0.000913026156476176,0.0104766421445144
387,0.00181371804604102,0.000910628844138323,0.0103717490177428
388,0.00195509547680298,0.000911682647010866,0.00985637949293982
389,0.00188863450232665,0.000915781345323483,0.00960707533175265
390,0.00184248455540297,0.000921818887642897,0.0100663551322081
391,0.00177929783608794,0.000912679414400183,0.0103253682511424
392,0.00198405815305311,0.000899017267578292,0.0111640658599783
393,0.00190669206527913,0.000907238528185413,0.0101193398826213
394,0.00186541641454215,0.000902008405884372,0.0102317027456683
