"x","loc_int","code","mu"
2,85,597,0.00101568800650594
3,85,853,0.00100942451255067
0,86,86,0.00100924056915206
1,86,342,0.00100658203064268
2,86,598,0.00101174642432708
3,86,854,0.00100138303009032
0,87,87,0.000992068953172125
1,87,343,0.000988692075646147
2,87,599,0.00100013807509924
3,87,855,0.000990298421627506
0,88,88,0.000923010965202726
1,88,344,0.000912739002772794
2,88,600,0.000915328039488774
3,88,856,0.000900524318803492
0,89,89,0.000924418260575803
1,89,345,0.000910474134121267
2,89,601,0.000925581897910987
3,89,857,0.000907287664871526
0,90,90,0.000916499068633915
1,90,346,0.000903844538524093
2,90,602,0.000905176925224559
3,90,858,0.00088681176177833
0,91,91,0.000915667501020165
1,91,347,0.000898541537494144
2,91,603,0.00091015731372109
3,91,859,0.000887832900205075
0,92,92,0.000982160204432694
1,92,348,0.000976725034912752
2,92,604,0.000991909889326345
3,92,860,0.000978928966383956
0,93,93,0.000980478213776625
1,93,349,0.00097357244058951
2,93,605,0.00100063370541553
3,93,861,0.00098620304706986
0,94,94,0.000973019773135002
1,94,350,0.000965097059118033
2,94,606,0.000981657866260657
3,94,862,0.000965302219220074
0,95,95,0.000968530597424538
1,95,351,0.000958178825786754
2,95,607,0.000983481424336036
3,95,863,0.000965327903827216
0,96,96,0.000934347355355036
1,96,352,0.000911561030561357
2,96,608,0.000933075468507359
3,96,864,0.000907058435713801
0,97,97,0.000923299133743153
1,97,353,0.000897672407160312
2,97,609,0.000931696075289376
3,97,865,0.000902900542048819
0,98,98,0.000947973549627111
1,98,354,0.000922706081498624
2,98,610,0.000942409184548158
3,98,866,0.000911652961373735
0,99,99,0.000930703171320845
1,99,355,0.000902938571511977
2,99,611,0.000930406474673698
3,99,867,0.000897934438092652
0,100,100,0.000987738403714649
1,100,356,0.000971239227145593
2,100,612,0.00100157273337593
3,100,868,0.000979115218081532
0,101,101,0.00097372201901253
1,101,357,0.000955564362243732
2,101,613,0.00099625206694726
3,101,869,0.00097268664633471
0,102,102,0.00100051884964444
1,102,358,0.000980318795662884
2,102,614,0.00101358295252562
3,102,870,0.000985374341720089
0,103,103,0.000981338528128612
1,103,359,0.00095973365205103
2,103,615,0.000997607878735896
3,103,871,0.000969555484057427
0,104,104,0.000894587894184473
1,104,360,0.000866399917349893
2,104,616,0.000895378166646133
3,104,872,0.000865493767004963
0,105,105,0.000888535602995379
1,105,361,0.000857697282190646
2,105,617,0.000899062081244724
3,105,873,0.000866259825822075
0,106,106,0.000905404710009642
1,106,362,0.000876683863399125
2,106,618,0.000902373862344263
3,106,874,0.000870154142883269
0,107,107,0.000892934438542483
1,107,363,0.000860436550999379
2,107,619,0.00089656977135853
3,107,875,0.000860767977719103
0,108,108,0.000954544380947805
1,108,364,0.000932541366368159
2,108,620,0.000974896733642215
3,108,876,0.000947842919625565
0,109,109,0.000947758149092891
1,109,365,0.000924190133032514
2,109,621,0.00097770005174208
3,109,877,0.000949215810018265
0,110,110,0.000964735574397989
1,110,366,0.000941671051602285
2,110,622,0.000983304796835203
3,110,878,0.000953213370411115
0,111,111,0.000951467457039715
1,111,367,0.000925416866108703
2,111,623,0.000975597147448739
3,111,879,0.000943385042410433
0,112,112,0.00093987913562664
1,112,368,0.000930011071774469
2,112,624,0.00093699746179067
3,112,880,0.000923181137615237
0,113,113,0.000928372917183628
1,113,369,0.000913336825588994
2,113,625,0.00093372455579408
3,113,881,0.000915580616660737
0,114,114,0.00093886935891051
1,114,370,0.000927589281599295
2,114,626,0.000932248121639679
3,114,882,0.000914868723835288
0,115,115,0.000920161049769393
1,115,371,0.000904144990160019
2,115,627,0.000918175168960911
3,115,883,0.000897302397900212
0,116,116,0.000994424830075967
1,116,372,0.00098913726477144
2,116,628,0.00100802542570657
3,116,884,0.000996369263997097
0,117,117,0.000977963881063514
1,117,373,0.000969844973772014
2,117,629,0.0010000844299572
3,117,885,0.000986272343989252
0,118,118,0.000991376527713101
1,118,374,0.000983675923063781
2,118,630,0.00100411807315791
3,118,886,0.000988626323708292
0,119,119,0.000968362601418708
1,119,375,0.000958031399501107
2,119,631,0.000984653822644891
3,119,887,0.000967863335054348
0,120,120,0.000903256425796037
1,120,376,0.000887022615803488
2,120,632,0.000903343846243104
3,120,888,0.000884246796364252
0,121,121,0.000901587300193376
1,121,377,0.000880732238095882
2,121,633,0.000909874060917414
3,121,889,0.000886764245972553
0,122,122,0.000900450289380369
1,122,378,0.000884470017295459
2,122,634,0.000897895380913953
3,122,890,0.000877550111404967
0,123,123,0.000892363891506113
1,123,379,0.000870397547585036
2,123,635,0.000894989566407146
3,123,891,0.000869531810774742
0,124,124,0.000965722949653959
1,124,380,0.000954324628632782
2,124,636,0.000986303253955142
3,124,892,0.000969135731462424
0,125,125,0.000962041874304504
1,125,381,0.000948490310817225
2,125,637,0.0009918401818027
3,125,893,0.000972887180469713
0,126,126,0.000960805669973561
1,126,382,0.000949220815241066
2,126,638,0.000980716352551022
3,126,894,0.000962194864866302
0,127,127,0.000950237343306102
1,127,383,0.000934716135039865
2,127,639,0.000975075391502685
3,127,895,0.000953513157922176
0,128,128,0.00103244447344688
1,128,384,0.00103044231749834
2,128,640,0.00101827517956015
3,128,896,0.00101773261241207
0,129,129,0.00100695054999111
1,129,385,0.00100544653248886
2,129,641,0.00100259053481218
3,129,897,0.00100195348391701
0,130,130,0.00102609818228835
1,130,386,0.00101980937209134
2,130,642,0.00101027650138606
3,130,898,0.00100204293655396
0,131,131,0.00100044115526726
1,131,387,0.000995796875168978
2,131,643,0.000991172460470705
3,131,899,0.000984864395517371
0,132,132,0.00109343799166618
1,132,388,0.00109908106506946
2,132,644,0.001086032195196
3,132,900,0.00108905528129048
0,133,133,0.00106694751508449
1,133,389,0.00107304853473086
2,133,645,0.00107205421653916
3,133,901,0.00107610324607168
0,134,134,0.00108901068166295
1,134,390,0.00109079749812636
2,134,646,0.0010854896757034
3,134,902,0.00108164536837933
0,135,135,0.00106319979468414
1,135,391,0.00106674400773647
2,135,647,0.00106730322002616
3,135,903,0.00106686385530158
0,136,136,0.000987731464069353
1,136,392,0.000974706135312679
2,136,648,0.000974087368447355
3,136,904,0.000962087003137008
0,137,137,0.000968465041988006
1,137,393,0.000955749811441866
2,137,649,0.000965264815806391
3,137,905,0.000952117115287837
