"code","lambdaZM_hat_T","lambdaZM_lo_T","lambdaZM_hi_T"
68,0.000124269709489027,5.47188190175844e-05,0.000651384318962456
69,0.000123213016575839,5.49766156812201e-05,0.000623554909233037
70,0.000116270202274586,5.52880744399338e-05,0.00065925857108261
71,0.000115719178608299,5.51850763102634e-05,0.00063375115672926
72,0.000121585860437083,5.45235553773614e-05,0.000621705959118852
73,0.000120819427582037,5.44126396946022e-05,0.000620299781141729
74,0.000112658439223852,5.44116261117206e-05,0.00062096178831886
75,0.000112040866629931,5.46635324124312e-05,0.000607469213280323
76,0.000120099119110718,5.44597933183637e-05,0.000630189880049155
77,0.000120130720722073,5.42035571323426e-05,0.000617691412276464
78,0.000112314456752088,5.49513475287289e-05,0.000629055924417415
79,0.000112255726996849,5.48818512212393e-05,0.000636492556587644
80,0.000137032062402978,5.43326601838004e-05,0.000665055988611512
81,0.000134415819367976,5.39530667227624e-05,0.000626380002845423
82,0.000127339642183509,5.47792422774836e-05,0.000696033770584516
83,0.000125824669246992,5.49530077906838e-05,0.000665938299639146
84,0.000130795076987608,5.47309301930297e-05,0.000666393702483725
85,0.00012994110467224,5.42284878113819e-05,0.000654331638131165
86,0.000124261794673276,5.50061599353215e-05,0.000735738851463102
87,0.000123998021816614,5.50101285690954e-05,0.000672497772021779
88,0.000129164633593357,5.39780001833645e-05,0.000646570893955883
89,0.000128273646196876,5.43511498695303e-05,0.000653700549964456
90,0.000121590418789864,5.4819057969685e-05,0.000665840724195546
91,0.000120835198417547,5.49751622078595e-05,0.000664732953926373
92,0.0001254118330076,5.50331869319785e-05,0.000695649078352046
93,0.000125511793215984,5.42518743685673e-05,0.000637472440485434
94,0.000119878359309167,5.54130705580609e-05,0.000673395750192879
95,0.000119887216037294,5.51898487633785e-05,0.000641140653325975
96,0.000121950395362247,5.45700788021008e-05,0.000655527632126645
97,0.00012006927695614,5.46846014016248e-05,0.000627517580810241
98,0.000113057939391076,5.5032995001456e-05,0.000686527392077163
99,0.000111993732372954,5.5526331635264e-05,0.00065666634578812
100,0.000119763004125452,5.43832624572339e-05,0.000654502438747373
101,0.000119301194956893,5.52770038193127e-05,0.000612332723336903
102,0.000112670535057732,5.54671384318644e-05,0.000635249851484532
103,0.000112572836432531,5.52786497708684e-05,0.000700815746917342
104,0.000116193600677979,5.44212368447893e-05,0.000694297487077269
105,0.000116012088388895,5.43685477428687e-05,0.000605510867645016
106,0.000108678032180626,5.46983713066386e-05,0.00061705059144129
107,0.000108630090015817,5.46288578038073e-05,0.000636771111733298
108,0.0001156935081963,5.45393807113275e-05,0.000650016620918732
109,0.000116132445559141,5.40380252628061e-05,0.000644179165587301
110,0.000109255190583188,5.47776115090895e-05,0.000647116742117611
111,0.000109604178194518,5.40471655152104e-05,0.000625498225396866
112,0.0001309858275461,5.43021585130091e-05,0.000632029581151397
113,0.00012939715636912,5.45729343751265e-05,0.000628782359053135
114,0.000122818991771697,5.51356670562441e-05,0.000635737399731049
115,0.00012199079308833,5.50195053199521e-05,0.000678276245629332
116,0.000126778637910454,5.49340236927425e-05,0.000695251816179357
117,0.000126895374370972,5.44646462020922e-05,0.000661304996730795
118,0.000121375502391509,5.58590751450138e-05,0.000688590011783282
119,0.000121726560167731,5.50181074314972e-05,0.000631781374326861
120,0.000124481394161227,5.47098140947574e-05,0.000661445033366866
121,0.000124736903581245,5.43856560132224e-05,0.000633200593764502
122,0.000118343426796484,5.46754029865239e-05,0.000647215762752852
123,0.000118503551548593,5.44983251802859e-05,0.000620658734972389
124,0.000122146297346312,5.5877698542269e-05,0.000630968900509259
125,0.000123123645476931,5.41962106873551e-05,0.000612284545208106
