"code","lambdaZM_hat_T","lambdaZM_lo_T","lambdaZM_hi_T"
87,4.22609176129295e-05,1.89482310499676e-05,0.000185236583192394
88,4.40217985643842e-05,1.82416471471128e-05,0.000166880446335782
89,4.37181328735514e-05,1.90578675203253e-05,0.000198143360966715
90,4.14403600615468e-05,1.87072110417375e-05,0.000208328650331412
91,4.11829663913373e-05,1.87365956874684e-05,0.00016456943943054
92,4.27427717375935e-05,1.87539167209095e-05,0.000203220888270108
93,4.27768401047271e-05,1.86429681573742e-05,0.000180531992541183
94,4.08568571668863e-05,1.89682109319751e-05,0.00016562931038385
95,4.0859875710668e-05,1.89447285922605e-05,0.00014581009900096
96,4.1563047020945e-05,1.88840964065817e-05,0.0001874688637924
97,4.09219255835544e-05,1.87264289864358e-05,0.000170372683897051
98,3.8532326500822e-05,1.85264476353539e-05,0.000178249549792602
99,3.81696242217286e-05,1.84238059359007e-05,0.00019109644338174
100,4.08175418952087e-05,1.85681801309451e-05,0.000189080524371502
101,4.06601484228016e-05,1.87995118942602e-05,0.000205773864781475
102,3.84002916314389e-05,1.84948570057826e-05,0.000212027873245027
103,3.83669940554773e-05,1.83727276378921e-05,0.000203076841022594
104,3.96010203506632e-05,1.79971216815176e-05,0.00018768946319259
105,3.95391574613821e-05,1.86614880272472e-05,0.000163086376088468
106,3.70395696401776e-05,1.8532479880294e-05,0.000192993250488105
107,3.70232300256619e-05,1.83544285555161e-05,0.000173754235959806
108,3.94305791867037e-05,1.84059550680843e-05,0.000207951735735573
109,3.9580177506552e-05,1.82458072311858e-05,0.000178846483640274
110,3.7236276356486e-05,1.87961999409237e-05,0.000179110680417309
111,3.7355218065993e-05,1.83370126969897e-05,0.000203636080935446
112,4.46424965921951e-05,1.88472847226354e-05,0.000168662411365776
113,4.41010468114583e-05,1.89161917062473e-05,0.00019847821014866
114,4.18590814315016e-05,1.88296544680561e-05,0.000174928951071566
115,4.15768153452194e-05,1.89291159845672e-05,0.00016368009869483
116,4.32086052125653e-05,1.91179113244303e-05,0.000198652258698095
117,4.32483912500203e-05,1.94084823349409e-05,0.00018721587468982
118,4.13671124075e-05,1.89800892843904e-05,0.00020468573939069
119,4.1486759669133e-05,1.88884820923328e-05,0.000195256322397231
120,4.24256602316648e-05,1.856015381416e-05,0.000175354077579504
121,4.25127427704867e-05,1.86452888595034e-05,0.00016542206250496
122,4.03337225594986e-05,1.90122013677077e-05,0.000167726514349276
123,4.03882961636378e-05,1.86450711647166e-05,0.000157186684059234
124,4.16298141958362e-05,1.90967347623939e-05,0.000168051398380651
125,4.19629132906613e-05,1.85737911677874e-05,0.000202620315367995
126,4.02044868476979e-05,1.89236336236513e-05,0.000160752995195164
127,4.04332305049034e-05,1.87144681960861e-05,0.000168436815163981
128,4.21476313289719e-05,1.79782107743283e-05,0.000185924776343542
129,4.0397038753698e-05,1.78738936816651e-05,0.000192669460748201
130,3.90612109753305e-05,1.83972344632535e-05,0.000210276568653408
131,3.76062063675549e-05,1.82502503257165e-05,0.000189024628501209
132,4.05219413672853e-05,1.82620896345047e-05,0.000206980816882996
133,3.93894495137513e-05,1.82390474696597e-05,0.00017645033218048
134,3.81040968654967e-05,1.8621768066857e-05,0.00017999482768847
135,3.70654938324308e-05,1.83763154832479e-05,0.000209682567823953
136,4.07693326262959e-05,1.78097678622776e-05,0.000195289656268747
137,3.93677807428852e-05,1.78687547749486e-05,0.000196343293397147
138,3.82801472887136e-05,1.79569476419124e-05,0.000178103216146983
139,3.68689435486498e-05,1.83225094326891e-05,0.000192512885921548
140,3.97854225174792e-05,1.8397887012284e-05,0.00019818487925881
141,3.87497360187707e-05,1.82530167508798e-05,0.000207488617064219
142,3.76194089937333e-05,1.84916626839374e-05,0.000158639442227168
143,3.64602000608615e-05,1.88002551102892e-05,0.000169457954014729
144,4.59743696076343e-05,1.82250372437352e-05,0.000205392013614517
145,4.40787056231736e-05,1.83231684801959e-05,0.000175221096688227
146,4.31765523171705e-05,1.85788586986471e-05,0.000186298450504813
147,4.15722387778103e-05,1.8073057400502e-05,0.000187898634440876
148,4.37929219161011e-05,1.84719777466751e-05,0.000175624104819608
149,4.26873022829909e-05,1.86949995392939e-05,0.000209562507860449
150,4.19041855541512e-05,1.87824154922813e-05,0.00021781948325253
151,4.08537400128235e-05,1.91632861830261e-05,0.000230278792051785
152,4.41164864738597e-05,1.82564257094418e-05,0.000184671191282111
153,4.25091422633005e-05,1.85379295414481e-05,0.000197257494248811
154,4.22595011135343e-05,1.84516292068428e-05,0.000153382809886249
155,4.05686725317345e-05,1.85586018597702e-05,0.000165045094570954
156,4.26524200135168e-05,1.8672468870851e-05,0.000208117398350804
157,4.15055935732318e-05,1.86393536631195e-05,0.000171576592824829
158,4.13087466357968e-05,1.88060171373254e-05,0.000175229800710414
159,3.99602054093304e-05,1.91146673919687e-05,0.000209793000909095
160,4.01056701547442e-05,1.81032893193358e-05,0.000193117387079812
161,3.8667585593767e-05,1.83042620282147e-05,0.000165755145879235
162,3.74723772618848e-05,1.87123936773353e-05,0.000171067396984074
163,3.62764949433606e-05,1.88003960580535e-05,0.000177200229273803
164,3.89442915961245e-05,1.81428206467718e-05,0.000168732413232566
165,3.81504402274063e-05,1.84016133412727e-05,0.000183932997015733
166,3.68446222642627e-05,1.85286664434001e-05,0.000193110872897148
167,3.60688313969023e-05,1.84706805445032e-05,0.00017975155703924
168,3.86751063281707e-05,1.79612085391874e-05,0.000210088972867038
169,3.76009874964912e-05,1.79808587347272e-05,0.00020708191067099
170,3.6654252802618e-05,1.80334633971235e-05,0.000191382121891526
171,3.55676739279255e-05,1.81588278392299e-05,0.000165517959886594
172,3.79524510396147e-05,1.86051474697274e-05,0.000209263301153762
173,3.72141050357551e-05,1.84768541633466e-05,0.000190147734012096
174,3.62263123029898e-05,1.85429121313961e-05,0.000171891147776381
175,3.5340539218661e-05,1.86959062023864e-05,0.000202050011619878
176,4.38692485482782e-05,1.84607318498529e-05,0.000161991026742206
177,4.25106844672724e-05,1.86909984301426e-05,0.000158029738713082
178,4.15944344991109e-05,1.88914877955339e-05,0.000176379677405843
179,4.04064104492615e-05,1.84889738563828e-05,0.000170319852011966
180,4.23880184588931e-05,1.85545476644905e-05,0.000163492539787885
181,4.1812105108611e-05,1.90322107350975e-05,0.000171049943669904
