"code","lambdaZ_hat_T","lambdaZ_lo_T","lambdaZ_hi_T"
355,0.00187262364940992,0.000906506591643327,0.00968806496403058
356,0.00200038944790141,0.000891049190930458,0.00977227903714974
357,0.00198801158697508,0.000903269104628653,0.00874175053261495
358,0.00189899422753425,0.00088428567699168,0.00929257158742091
359,0.00189248395578775,0.000891110253253055,0.00952909830648114
360,0.00194422987958851,0.000897905880916428,0.0103356669130319
361,0.00194761465455155,0.000891451242280838,0.00822656174260459
362,0.00182684919293817,0.000899010981999717,0.00924891223424461
363,0.00182971807750724,0.000900505029045629,0.00875315289127469
364,0.00194217110063179,0.000886853991226337,0.00897093596961609
365,0.00195333766280781,0.000889582182494767,0.00776028595902412
366,0.00184929759879646,0.000903253165753754,0.00988683036510301
367,0.00185799600279441,0.000893558239212194,0.00891023085818988
368,0.0021892944960163,0.000922220676698752,0.0095883163885808
369,0.00215843201701831,0.000910693308397367,0.00909908834402585
370,0.00205852674876241,0.000922378762031893,0.00777883689959338
371,0.00203962443309734,0.000904108079362898,0.00955562136193199
372,0.00211186684881741,0.00091692121979701,0.00838985200221126
373,0.00210427038937062,0.00091114538243943,0.00977279539174242
374,0.0020345631964905,0.000911023666485161,0.00850927236568702
375,0.00203230723968506,0.000903678269675883,0.00855206098818098
376,0.00209209793499636,0.000922959881035624,0.00827011066718064
377,0.00209876280492083,0.000902549739518375,0.00706088591263409
378,0.001994954621132,0.000921682238068144,0.00748094580217459
379,0.00199835018710144,0.000891652330468814,0.00815137371155691
380,0.00204641467414097,0.000918893701754496,0.00830600618870289
381,0.00206262468284641,0.000907362973026314,0.00818362793392354
382,0.00199034343715651,0.000914703374667918,0.00871318687646381
383,0.00200201492353832,0.000929233740962719,0.00812029815556467
384,0.00205113539129375,0.000879324428706288,0.0092576276094275
385,0.00195034644225575,0.000870114584695408,0.00826184937490659
386,0.00190093191025304,0.00089191102693053,0.00817290591516358
387,0.00181371804604102,0.000889842890666895,0.00865901830981427
388,0.00195509547680298,0.000901185480025602,0.00917527148036489
389,0.00188863450232665,0.000888053600664487,0.00900221711718386
390,0.00184248455540297,0.000906016379027457,0.00799327462764962
391,0.00177929783608794,0.000906176834753465,0.00986395924064405
392,0.00198405815305311,0.000873692999568228,0.00893559503366135
393,0.00190669206527913,0.000879587533568928,0.00766610950732412
394,0.00186541641454215,0.000890168748943232,0.00987861614590971
395,0.00178607744010984,0.000907078920545306,0.00833686441958967
396,0.00192311593847267,0.000889750047115113,0.00963199258466944
397,0.00187133467227877,0.000885561732481611,0.00858717521256422
398,0.00182369525513478,0.000888962053173862,0.00814173169308723
399,0.00176341061583866,0.000905606333262794,0.00793903405179033
400,0.00225042683685342,0.000870510098667191,0.0081252926988612
401,0.00212776302233063,0.000903857309764245,0.00812696157236386
402,0.00210787756653925,0.000884942051610203,0.00836017053771951
403,0.00200175824773014,0.00088651808960166,0.00794306864912419
404,0.00210910120671747,0.000901851201145933,0.00842715061142825
405,0.00203012423538262,0.000913485458061948,0.00822287060201535
406,0.0020166382320021,0.000905627822268448,0.00964018859999345
407,0.00194257899707215,0.000933836033071099,0.00907161690389448
408,0.00215446557672304,0.000891911654994998,0.00848494891490561
409,0.00205486125882927,0.000889145594661523,0.00804533654708169
410,0.00206389965321127,0.000893457803583914,0.00821300286604582
411,0.00196090959087426,0.000910826047692739,0.0076236946846627
412,0.00205405150640259,0.000907632595747111,0.00806900942565413
413,0.0019848470957815,0.000916524967464985,0.00861716543435163
414,0.00199255594124432,0.000924391889626282,0.0077158869843558
415,0.00191410883831283,0.000939421149911057,0.00807472720953323
416,0.0019300028873216,0.000878487247360478,0.00885434663373054
417,0.00185069009639525,0.00089507109648035,0.00840172191516979
418,0.00181254635808957,0.000905506547432853,0.00817011702443715
419,0.00174435447045707,0.000910139677500318,0.00792442537337777
420,0.00186660894713345,0.000896535437261412,0.00959517821322755
421,0.0018180984035078,0.00091834826831255,0.00843662819933419
