"A","alpha","p","c","N","failed","conv_iter"
0.233811949693048,1.14052189802496,1.16511025934636,0.00708343754416609,303,FALSE,30
0.136683291916863,1.5107921230581,1.17024029076337,0.00984975974879053,497,FALSE,30
0.22263311142949,1.15462361039788,1.26838047441178,0.0130927853697912,369,FALSE,30
0.225452775381478,1.23727207967004,1.1629704594796,0.00779086171789183,409,FALSE,30
0.179847437259349,1.41672303974916,1.11002448705351,0.00449231343525236,411,FALSE,30
0.187724341692373,1.16819017344846,1.23880618603585,0.0163363594153833,277,FALSE,30
0.242933223695605,1.32633343369863,1.11505405535174,0.00606667867872711,320,FALSE,30
0.153978028338467,1.29968645929681,1.53172533440397,0.0309099253944132,375,FALSE,30
0.14318936102645,1.42627301976665,1.23626619513033,0.0192499353048581,398,FALSE,30
0.257674076029133,1.18931166406877,1.20443622194798,0.0108114903420809,507,FALSE,30
0.261616797066005,1.31783841437495,1.08825939214767,0.00361673941435647,288,FALSE,30
0.361551752443627,1.21128770565749,1.07849134163963,0.00512981219150806,441,FALSE,30
0.26171782137687,1.40834600012377,1.07514167351901,0.00578332483855622,437,FALSE,30
0.28975416314528,1.01155701294196,1.14570868723649,0.00698436372702271,286,FALSE,30
0.155881514268604,1.2814236890325,1.22580168746809,0.0186477141976345,257,FALSE,30
0.153352018176758,1.45754014998165,1.18021210031186,0.00956341484100074,363,FALSE,30
0.218959471779418,1.40590288633829,1.08659831276565,0.00535132018723273,353,FALSE,30
0.32136051658353,1.11783887314028,1.13670549233041,0.00744285224755355,552,FALSE,30
0.225860392216382,1.26859501442225,1.14229853631031,0.00645214468227545,349,FALSE,30
0.429187958745577,1.05121141926253,1.07854159009889,0.00412610167452059,423,FALSE,30
0.274642658509154,1.18192972316814,1.15118978651016,0.00881251403230228,353,FALSE,30
0.245069591565551,1.25413039198268,1.11401843035996,0.00588290033988366,337,FALSE,30
0.2781473646563,1.10821974815637,1.15524465575347,0.00737326248725313,486,FALSE,30
0.0973183384481727,1.40496826335049,1.50948737383948,0.0268609248748977,219,FALSE,30
0.142727733360559,1.55979967214112,1.13314774955744,0.00813644333263635,308,FALSE,30
0.304086430533013,1.204908948697,1.09261979755968,0.00633265265119018,398,FALSE,30
0.243518248839244,1.31406500146785,1.11034473894514,0.00810669472972067,352,FALSE,30
0.211652953137137,1.49994631340255,1.09361108952394,0.00831868574292711,437,FALSE,30
0.452566944995523,1.03129748675687,1.08021051218719,0.00701974550870696,382,FALSE,30
0.208364937476185,1.41570856755215,1.08363509788889,0.00690925703016142,266,FALSE,30
0.24179026988635,1.39190462582094,1.09767108428037,0.00479756260453026,344,FALSE,30
0.252409512787127,1.07307940711374,1.17833740953376,0.00966321125874806,346,FALSE,30
0.24236418254287,1.17596844369219,1.14682007453568,0.00792291817752046,326,FALSE,30
0.182612560614205,1.44443855341658,1.10013950565935,0.00752613405052765,335,FALSE,30
0.224443243027334,1.34505655783711,1.13800873415707,0.00935373874945686,390,FALSE,30
0.137965087291798,1.57799743952712,1.10581281207584,0.00834692254646757,275,FALSE,30
0.215278176960256,1.48476541597466,1.08049966037917,0.00566637911156735,403,FALSE,30
0.417488739464754,1.11119751881452,1.07179440247554,0.00384502874811526,354,FALSE,30
0.147841162011591,1.43607924147818,1.11606440325175,0.00436402387929532,233,FALSE,30
0.248042881182631,1.0217253630103,1.32353354578901,0.0180038201884952,300,FALSE,30
0.214300788463067,1.16822656394008,1.25150408219413,0.0112443206388969,430,FALSE,30
0.270745231112378,1.20772745145697,1.11340568353911,0.00667007299770902,371,FALSE,30
0.197044536302575,1.24526402588765,1.21783701809874,0.0154992550142,340,FALSE,30
0.176582230473681,1.18068971758177,1.2441583089702,0.00862399384188332,252,FALSE,30
0.15560484535228,1.64910338878507,1.08929640486295,0.00615826997863491,312,FALSE,30
0.146602600544424,1.50455504274067,1.11654843769366,0.00595294122018981,231,FALSE,30
0.266837087979906,1.24071828472428,1.10262311006945,0.00688562715917119,339,FALSE,30
0.287645250189763,1.12200400483899,1.1362157556304,0.00616384361405102,434,FALSE,30
0.255055523835385,1.29809141820493,1.14585307924272,0.0133896711249164,550,FALSE,30
0.178459806659631,1.15572192308434,1.4006118363603,0.0301495341962409,285,FALSE,30
0.224759354275192,1.19687020979128,1.19942496428939,0.00745305155279793,351,FALSE,30
0.235848911986492,1.20412350697667,1.21128969327816,0.0127742002253069,492,FALSE,30
0.308790511311803,1.18091277162276,1.10376020262648,0.00686590666014253,385,FALSE,30
0.196799980354889,1.43221669276698,1.12847667673351,0.00645163634931888,397,FALSE,30
0.18938920352374,1.32446514026388,1.19891401206743,0.0117345551919717,360,FALSE,30
0.33075300536556,0.948465519843418,1.15513434277328,0.00524491291929948,354,FALSE,30
0.219161108451917,1.36454242635781,1.09962986900895,0.00414058155486991,418,FALSE,30
0.390409652345981,1.15218777390818,1.08110348469504,0.00611630111205828,376,FALSE,30
0.226019558360784,1.31032383544366,1.13676530355714,0.00571685176884274,324,FALSE,30
0.345898849315166,1.08610471106728,1.13794550681861,0.0113768563664667,456,FALSE,30
0.21752528131058,1.39041982563916,1.10787560037681,0.00525440117439978,435,FALSE,30
0.190760741001302,1.34219455661646,1.09483247376753,0.003863272067241,333,FALSE,30
0.132331955813114,1.3214090753956,1.37248944610874,0.0126409862199107,323,FALSE,30
0.243909757436088,1.25910956594117,1.13922945490972,0.00838692529209837,383,FALSE,30
0.242155070866804,1.22152688557876,1.10249994225162,0.0046400063063298,345,FALSE,30
0.362424602239195,1.21380206710529,1.08454656414924,0.00799596302030652,567,FALSE,30
0.24126540419433,1.40701361647767,1.07499052835343,0.00809598110663323,268,FALSE,30
0.337193566557991,1.21363759878953,1.08226271599454,0.00782809356485338,345,FALSE,30
0.153639298776641,1.44230312629558,1.22605310061533,0.0153635179582102,412,FALSE,30
0.230825557205568,1.39174207702603,1.09708786930727,0.00651774298446255,431,FALSE,30
0.266486710957616,1.51097218702885,1.05774202234121,0.00322992198120356,345,FALSE,30
0.36738889683039,1.34558115371833,1.04688805513106,0.00602776783479908,270,FALSE,30
0.294723822792386,1.20311059969646,1.10359596446275,0.00374278087623268,380,FALSE,30
0.19571227388162,1.16848950100617,1.43899529398981,0.0316709294850139,333,FALSE,30
0.18851006118582,1.12903921572215,1.34312023611679,0.0216353281278634,306,FALSE,27
0.226383346338615,1.35617052819581,1.11402131623972,0.00874219985839107,425,FALSE,30
0.156427524519627,1.34634298940469,1.26162735389469,0.0158662774102449,315,FALSE,30
0.270580154306963,1.04329733808989,1.18295073971329,0.00846364166140026,323,FALSE,30
0.197838928825892,1.12517185002033,1.29426529778786,0.0165442938780941,319,FALSE,30
0.213227592297277,1.28022468005483,1.16676300516413,0.00781526682477021,438,FALSE,30
0.327042675142544,1.25870413124175,1.07170994301944,0.00529564845924796,431,FALSE,30
0.254541505287712,1.23958221913172,1.13603672124677,0.0073694144639703,370,FALSE,30
0.23748495788068,1.05748123141079,1.21178881829186,0.00836364691113739,330,FALSE,30
0.264119329301511,1.04853784750874,1.15175087653274,0.0143412997144569,277,FALSE,30
0.25574577785616,1.23997213341739,1.1164102154717,0.00765518464653163,325,FALSE,30
0.161009797531509,1.41395242430602,1.10926596570842,0.00526240466055665,291,FALSE,30
